0,2,6,7,7,3,3,2,3,4,5,9,6,6,1,6,8,8,8,8
0,0,2,8,8,5,9,1,3,10,3,7,10,7,5,1,10,9,10,3
0,0,0,9,7,7,2,5,5,8,2,9,10,4,8,10,8,2,10,2
0,0,0,0,7,7,4,6,6,9,2,7,8,2,3,8,7,1,9,9
0,0,0,0,0,3,8,6,7,1,2,10,2,6,9,6,6,10,1,1
0,0,0,0,0,0,9,6,1,1,1,3,1,5,2,6,10,1,3,4
0,0,0,0,0,0,0,4,3,2,8,5,10,4,3,10,2,4,7,10
0,0,0,0,0,0,0,0,5,2,9,1,2,2,5,3,1,9,5,3
0,0,0,0,0,0,0,0,0,8,5,2,5,7,2,3,4,3,5,6
0,0,0,0,0,0,0,0,0,0,4,7,5,6,3,3,7,9,9,5
0,0,0,0,0,0,0,0,0,0,0,8,6,9,7,6,3,5,1,7
0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,7,10,5,8,10
0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,1,4,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,8,2,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,3,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
